,_index_,eventID,eventTime,userIdentityaccountId,eventSource,eventName,sourceIPAddress,userAgent,userIdentitytype,apiVersion,userIdentityprincipalId,userIdentityarn,userIdentityaccessKeyId,userIdentitysessionContextsessionIssueruserName,errorCode,errorMessage,ae_anomaly_score,ts_anomaly,tlsDetailsclientProvidedHostHeader,event_dt
10,10,10,2021-10-01T04:35:32Z,Account-123456789,lin.com,DescribeManagedPrefixLists,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,2001-06-09,16395d88-2838-423c-99ee-98d4a9704d8c,arn:aws:06f03770-d20f-490f-b6d4-03045e7e5ccb,AOPJCLIYWVG6CQDUJ9XB,role-g,success,,1.584267020225525,False,,2021-10-01 04:35:32+00:00
11,11,11,2021-10-01T04:35:32Z,Account-123456789,lopez-byrd.info,GetSendQuota,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,ea5063a8-4135-4091-949a-e33e5a30f9be,arn:aws:a53373b7-7b99-483c-a5d0-62370ad81c4b,,role-g,success,,1.1628607511520386,False,,2021-10-01 04:35:32+00:00
12,12,12,2021-10-01T04:35:32Z,Account-123456789,robinson.com,GetOpenIDConnectProvider,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,1984-11-26,e923c515-3625-4bc0-8bc8-352284b8f8e9,arn:aws:dd31f12b-0bce-45a0-b338-26da9fa67c28,A0A9LAP92SE7IBIHDG7H,role-g,success,,2.2286572456359863,False,,2021-10-01 04:35:32+00:00
13,13,13,2021-10-01T04:35:33Z,Account-123456789,lin.com,DescribeManagedPrefixLists,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,1990-05-27,00fb9be7-849b-4d12-a4d3-cab9e3d6a704,arn:aws:557844cb-089c-4530-9199-8621aed2625c,A2VGMDWSPAXKOYCV83CR,role-g,success,,1.4861570596694946,False,,2021-10-01 04:35:33+00:00
14,14,14,2021-10-01T04:35:34Z,Account-123456789,smith.com,DescribeVolumesModifications,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,2c5ad696-f42b-4db4-877f-52898e9bbb85,arn:aws:92b17fa4-15c9-41ee-82c3-b1042edfb6fb,AO71FOWN2428M1ZM4BCK,role-g,success,,2.1398909091949463,False,,2021-10-01 04:35:34+00:00
15,15,15,2021-10-01T04:35:34Z,Account-123456789,lopez-byrd.info,GetSendQuota,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,78fd03f4-3a03-4aae-8c6c-ae01622af679,arn:aws:b487e515-c122-4fae-a6d9-f2cb39b1ec02,,role-g,success,,1.1734347343444824,False,,2021-10-01 04:35:34+00:00
16,16,16,2021-10-01T04:35:35Z,Account-123456789,bailey-williams.info,DescribeVpcClassicLinkDnsSupport,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,2014-08-04,9b3a02ae-5e86-473a-8e8a-bd4b90538306,arn:aws:ab3b7cb1-de74-4265-8dff-c05e4d1d878a,AFSVHY0VWUAZMMUXDYP7,role-g,success,,2.2250876426696777,False,,2021-10-01 04:35:35+00:00
17,17,17,2021-10-01T04:35:35Z,Account-123456789,lopez-byrd.info,GetSendQuota,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,4843d402-84c0-4da4-bd93-f4d776a3cfef,arn:aws:8b41bda0-7600-4fc9-8338-6023b30a30e3,,role-g,success,,1.1734347343444824,False,,2021-10-01 04:35:35+00:00
18,18,18,2021-10-01T04:35:37Z,Account-123456789,shepherd.com,ListHealthChecks,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,63d6249e-3c52-4df1-b46c-7106b98f577c,arn:aws:1411f1ef-a27e-4249-b7f0-eacbec039e51,A7A0ERKEHDJBAVZHN8AO,role-g,success,,1.3193423748016357,False,,2021-10-01 04:35:37+00:00
19,19,19,2021-10-01T04:35:37Z,Account-123456789,lopez-byrd.info,CreateKeyPair,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,6426432f-41c8-4f2f-8247-11d17055bd63,arn:aws:94d569dd-9231-40f4-8746-8d54e4bf84d7,,role-g,success,,1.3641247749328613,False,,2021-10-01 04:35:37+00:00
20,20,20,2021-10-01T04:35:39Z,Account-123456789,lopez-byrd.info,GetSendQuota,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,26dd04ef-5fef-4655-9149-90bbe456b1ec,arn:aws:cf5130cf-21c4-4ac2-a583-cedd1ec2ec70,,role-g,success,,1.1734347343444824,False,,2021-10-01 04:35:39+00:00
21,21,21,2021-10-01T04:35:39Z,Account-123456789,lin.com,DescribeManagedPrefixLists,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,1990-05-27,d9127251-aa35-4b4c-a450-281590749405,arn:aws:c0a5ae1f-5eac-4b9e-8cc2-7b5b4cebae0a,ACCPJPBMY5JODKFPCRJQ,role-g,success,,1.9553111791610718,False,,2021-10-01 04:35:39+00:00
22,22,22,2021-10-01T04:35:39Z,Account-123456789,robinson.com,GetOpenIDConnectProvider,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,1984-11-26,df140832-8af6-479d-b998-06abff309a69,arn:aws:2fdfcbd5-3cd7-4440-aff5-bc219b25c815,A3VZBFPPGQ2ETNJDK71C,role-g,success,,2.1382477283477783,False,,2021-10-01 04:35:39+00:00
23,23,23,2021-10-01T04:35:39Z,Account-123456789,lin.com,DescribeManagedPrefixLists,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,1990-05-27,2c14a8bb-d39c-44e6-942a-cc49781bed15,arn:aws:865eb849-2eb9-419c-bb8d-ec739fc383ee,AZAGQ38OFYK8P4Y33NPC,role-g,success,,1.4861570596694946,False,,2021-10-01 04:35:39+00:00
24,24,24,2021-10-01T04:35:40Z,Account-123456789,lopez-byrd.info,GetSendQuota,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,c4aa0098-7177-4783-8159-17ff71b22928,arn:aws:1f499e8d-6d8e-432e-90d7-bd17a2c5bc6c,,role-g,success,,1.1734347343444824,False,,2021-10-01 04:35:40+00:00
25,25,25,2021-10-01T04:35:40Z,Account-123456789,lopez-byrd.info,CreateDBInstance,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,a431cad3-e60d-4951-99bf-695368d5d703,arn:aws:c4ce6204-0918-4d2b-849e-b79bc862311a,,role-g,success,,1.2490718364715576,False,,2021-10-01 04:35:40+00:00
26,26,26,2021-10-01T04:35:40Z,Account-123456789,lopez-byrd.info,CreateDBInstance,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,91570315-3d7a-468f-8783-e6036f029f49,arn:aws:4cc478ef-e95a-43f5-963d-b5c1cc723f24,,role-g,success,,1.2490718364715576,False,,2021-10-01 04:35:40+00:00
27,27,27,2021-10-01T04:35:40Z,Account-123456789,lopez-byrd.info,GetSendQuota,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,277da8f4-ee40-40d7-9f6b-e0b0033ebfdf,arn:aws:11ea8621-6f04-4a27-8656-ebcca44de1fc,,role-g,success,,1.1734347343444824,False,,2021-10-01 04:35:40+00:00
28,28,28,2021-10-01T04:36:09Z,Account-123456789,lin.com,DescribeManagedPrefixLists,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,2001-06-09,849e7175-da0d-4a1f-9e3e-e13deabb4282,arn:aws:bdd1c562-30c3-42e8-ab59-aa3076fd36c5,A45NEWT2WVVMKYQ1FPIA,role-g,success,,1.584267020225525,False,,2021-10-01 04:36:09+00:00
29,29,29,2021-10-01T04:36:09Z,Account-123456789,lopez-byrd.info,CreateDBInstance,123.79.131.26,"Mozilla/5.0 (Linux; Android 4.3.1) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/62.0.822.0 Safari/536.1",FederatedUser,,19555fbe-7fef-456f-a79e-21f095bc0bec,arn:aws:58397999-cef5-4f03-91db-812ecf919a1c,,role-g,MissingAction,The input fails to satisfy the constraints specified by an AWS service. ,2.4745795726776123,False,,2021-10-01 04:36:09+00:00
30,30,30,2021-10-01T04:36:12Z,Account-123456789,lin.com,DescribeManagedPrefixLists,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,1990-05-27,37dd32ab-df05-4e25-b2b7-7cf7b996393e,arn:aws:4241b053-01e3-4dbe-819d-6447bcf391bd,A1FIFMEIR5JJUE6BHEOU,role-g,success,,1.4861570596694946,False,,2021-10-01 04:36:12+00:00
31,31,31,2021-10-01T04:36:12Z,Account-123456789,lopez-byrd.info,GetSendQuota,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,04b34349-84f9-4f78-af3b-fc6ed6865a26,arn:aws:11a50d87-58fd-49c8-bb3d-cd69c8d7417b,,role-g,success,,1.1734347343444824,False,,2021-10-01 04:36:12+00:00
32,32,32,2021-10-01T04:36:12Z,Account-123456789,shepherd.com,ModifySubnetAttribute,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,85d533f7-be12-4a04-8a1d-1566615511cf,arn:aws:c055eae0-524c-408b-a867-71b4733c7550,AVAKTX3OJ3KWRRLF3KOX,role-g,success,,1.3959237337112427,False,,2021-10-01 04:36:12+00:00
33,33,33,2021-10-01T04:36:12Z,Account-123456789,lopez-byrd.info,GetSendQuota,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,0777ff25-4276-48e2-8176-6a3c022e34a7,arn:aws:bed99a94-f779-440f-9494-840156c2162c,,role-g,success,,1.1734347343444824,False,,2021-10-01 04:36:12+00:00
34,34,34,2021-10-01T04:52:50Z,Account-123456789,shepherd.com,ModifySubnetAttribute,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,19fdc19d-b455-49a7-8a9b-8d0448d3a1c9,arn:aws:34ba2c6e-da5b-4f62-bb4e-379a3f6f9cf9,ACOLEL1PX1J4HM3BDECR,role-g,success,,1.3959237337112427,False,,2021-10-01 04:52:50+00:00
35,35,35,2021-10-01T04:52:50Z,Account-123456789,mills.com,DescribeVolumes,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,8fb915b4-05e6-4895-9754-a6d9f6ff71c2,arn:aws:8a7046a8-ecce-4d93-9b50-c23fa6d0ee0e,AZQPGUBDCRZCX7ZGEY8G,role-g,success,,1.8101698160171509,False,,2021-10-01 04:52:50+00:00
36,36,36,2021-10-01T04:52:52Z,Account-123456789,lopez-byrd.info,CreateHostedZone,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,8ddb811f-cf6d-498d-843f-eece0e0680b4,arn:aws:2d447a95-0986-4a14-8d07-1c2e31dd4165,,role-g,success,,1.2104129791259766,False,,2021-10-01 04:52:52+00:00
37,37,37,2021-10-01T04:52:52Z,Account-123456789,solis.info,CreateInternetGateway,128.170.173.123,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10 7_0; rv:1.9.4.20) Gecko/2012-06-10 12:09:43 Firefox/3.8,FederatedUser,,7ad2d650-4829-43ce-b4ed-0c1b0d298370,arn:aws:488d3bb5-4905-4bfa-9d73-5b98fccf5197,APQ8QRI4PNGXADVFRSNX,role-g,success,,2.6470839977264404,False,,2021-10-01 04:52:52+00:00
38,38,38,2021-10-01T04:52:52Z,Account-123456789,shepherd.com,ListHealthChecks,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,b304fa71-d51f-4aa9-ad96-91350594ddd6,arn:aws:f37cd06b-1b47-4041-a71e-5e6ff917e5d8,A6CBBNVZU7ZJFXJUULFI,role-g,success,,1.3193423748016357,False,,2021-10-01 04:52:52+00:00
39,39,39,2021-10-01T04:52:53Z,Account-123456789,lin.com,DescribeManagedPrefixLists,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,2001-06-09,823a9932-1783-47db-b69c-148c60532e8f,arn:aws:8bd53912-1456-4fce-bb8c-87b1cb04ab74,ALQDQY0RS0FRJBWIL7YK,role-g,success,,1.584267020225525,False,,2021-10-01 04:52:53+00:00
40,40,40,2021-10-01T04:53:01Z,Account-123456789,mckinney-campbell.org,GenerateDataKeyWithoutPlaintext,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,e80d10c8-6ddd-4f4a-a781-a61327f97d9b,arn:aws:bcd05590-27d4-43c8-a78e-d13d3feda130,AINDFMOQIHFQRLGFS2GQ,role-g,success,,1.705216884613037,False,,2021-10-01 04:53:01+00:00
41,41,41,2021-10-01T04:53:02Z,Account-123456789,mills.com,DescribeVolumes,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,0af5b60d-b722-4c3e-8c52-1cefe7de242a,arn:aws:34a44965-d202-4cac-b1af-e630846fc83f,A0RKB0CHRABI8IX2OGNO,role-g,success,,1.8101698160171509,False,,2021-10-01 04:53:02+00:00
42,42,42,2021-10-01T04:53:02Z,Account-123456789,shepherd.com,ListHealthChecks,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,d9245fde-bbaa-40df-aa2d-4150f874d545,arn:aws:d60af022-dce0-4a7a-aa06-dd0aab79285f,ACORRPV0UR42L03KR7B9,role-g,success,,1.3193423748016357,False,,2021-10-01 04:53:02+00:00
43,43,43,2021-10-01T04:53:02Z,Account-123456789,mckinney-campbell.org,GenerateDataKeyWithoutPlaintext,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,c77d2928-2722-4675-b19d-c28ef591f59e,arn:aws:05d1e759-ee15-4bf4-922c-9a6265a52dc9,ANFXUSUFFVY2IL25O8JU,role-g,success,,1.705216884613037,False,,2021-10-01 04:53:02+00:00
44,44,44,2021-10-01T04:53:16Z,Account-123456789,shepherd.com,ListHealthChecks,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,9d2c325f-f662-4cbf-b1f1-85a352f10627,arn:aws:814f4dc3-ab8e-4ade-b21c-323166a0df61,ABBTLT6ZJVNH3M6CVLYB,role-g,success,,1.3193423748016357,False,,2021-10-01 04:53:16+00:00
45,45,45,2021-10-01T04:53:16Z,Account-123456789,lopez-byrd.info,CreateHostedZone,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,e333d9d3-8fed-4fb0-9216-d279be7eef33,arn:aws:a21439d6-c77e-483c-81ec-fafe87c12d94,,role-g,success,,1.2116831541061401,False,,2021-10-01 04:53:16+00:00
46,46,46,2021-10-01T04:53:16Z,Account-123456789,anderson.net,ListCertificateAuthorities,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,1970-07-15,084984d5-00be-4c90-ad73-85c410702fab,arn:aws:e9b2d363-fb3a-41a4-a179-fcc96160ca0b,AX8UILQIKFMTFHMZ0G6O,role-g,success,,2.1657490730285645,False,,2021-10-01 04:53:16+00:00
47,47,47,2021-10-01T04:53:16Z,Account-123456789,shepherd.com,ListHealthChecks,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,42a91d84-f678-4fe4-8809-8bf06385d5f0,arn:aws:12bb36e6-9217-429d-9716-b0793517b176,AM350P2LEMQHTKIQLOOH,role-g,success,,1.3193423748016357,False,,2021-10-01 04:53:16+00:00
48,48,48,2021-10-01T04:53:25Z,Account-123456789,lopez-byrd.info,GetSendQuota,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,53c1e720-3374-49ae-bd05-3b626f612cf7,arn:aws:de73c8de-5839-4d1e-867f-7e102d10d4ae,,role-g,success,,1.1734347343444824,False,,2021-10-01 04:53:25+00:00
49,49,49,2021-10-01T04:53:25Z,Account-123456789,lopez-byrd.info,ListTrafficPolicies,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,9f20c82e-1895-4bd5-a024-805e0ff6afc2,arn:aws:1adae759-5d21-409f-92e4-992669a00ddb,,role-g,success,,1.2766988277435303,False,,2021-10-01 04:53:25+00:00
50,50,50,2021-10-01T04:53:26Z,Account-123456789,lopez-byrd.info,DeleteOpenIDConnectProvider,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,9ed257e2-8b4b-4d30-b08a-f4a810a70210,arn:aws:bb991676-b239-4599-8427-4f7767559be4,,role-g,success,,1.4265846014022827,False,,2021-10-01 04:53:26+00:00
51,51,51,2021-10-01T04:53:26Z,Account-123456789,lopez-byrd.info,ListTrafficPolicies,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,69cf3b12-2a7c-49fd-af22-6e512125df7e,arn:aws:0e4d35a1-7ea2-4c2a-8877-10a6208c5170,,role-g,success,,1.2766988277435303,False,,2021-10-01 04:53:26+00:00
52,52,52,2021-10-01T04:53:27Z,Account-123456789,lopez-byrd.info,GetSendQuota,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,99147548-5f4f-418f-b50f-d2679e59ed93,arn:aws:e0a1be1a-6b0d-497b-ac9b-66def0b5e22a,,role-g,success,,1.1734347343444824,False,,2021-10-01 04:53:27+00:00
53,53,53,2021-10-01T04:53:27Z,Account-123456789,shepherd.com,ListHealthChecks,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,e66268e8-aef7-4dce-b54f-053cf77af4ce,arn:aws:7936401e-e175-4e15-a154-0c2c2232b5dd,A9S4QWFG0ZXSRXU4D6ZU,role-g,success,,1.3193423748016357,False,,2021-10-01 04:53:27+00:00
54,54,54,2021-10-01T04:53:36Z,Account-123456789,lopez-byrd.info,CreateHostedZone,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,c60543e9-9ce8-4200-9dd4-6a6f9d1faf8b,arn:aws:cc272f49-abd6-4f06-9c2e-2e7f21bfa68d,,role-g,success,,1.2116831541061401,False,,2021-10-01 04:53:36+00:00
55,55,55,2021-10-01T04:53:36Z,Account-123456789,smith.com,DescribeVolumeStatus,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,4b093c61-7109-4ef2-976b-8739007d53b5,arn:aws:41e836e1-a5dc-4e54-96f3-0a28589db2f1,ASC5D5NHD7C8HVDBN09W,role-g,success,,2.0563125610351562,False,,2021-10-01 04:53:36+00:00
56,56,56,2021-10-01T04:53:36Z,Account-123456789,lopez-byrd.info,GetSendQuota,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,841a35e9-900e-457b-aa59-da4bf1005179,arn:aws:5182a825-9e81-46e2-9fa0-ccd8beb7b27b,,role-g,success,,1.1734347343444824,False,,2021-10-01 04:53:36+00:00
57,57,57,2021-10-01T04:53:36Z,Account-123456789,grant-campbell.org,DescribeStaleSecurityGroups,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,00da4846-dd53-4c90-b5d7-979b28a674ee,arn:aws:bdec4cd0-d821-4842-ba14-080e12faebdb,ANSSDSVNSG5IMNFFA1BT,role-g,success,,1.781064748764038,False,,2021-10-01 04:53:36+00:00
58,58,58,2021-10-01T04:53:42Z,Account-123456789,vargas.org,ListQueryLoggingConfigs,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,10334006-f418-4a50-ae4c-63266805f542,arn:aws:d22523c2-9e48-41b1-95da-e2900716aeac,A7ZMDMXZY4GMJAINYVMZ,role-g,success,,2.080704689025879,False,,2021-10-01 04:53:42+00:00
59,59,59,2021-10-01T04:53:42Z,Account-123456789,lin.com,DescribeManagedPrefixLists,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,1990-05-27,3f45fe04-a4ac-4ccb-a1ac-d64abd8dd8d4,arn:aws:7133985e-f851-441d-93dc-0f02446add13,A9VGAVSLYSIGNISHXHIG,role-g,success,,1.4861570596694946,False,,2021-10-01 04:53:42+00:00
60,60,60,2021-10-01T04:53:44Z,Account-123456789,shepherd.com,ListHealthChecks,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,5cadd972-5acd-4c9e-84fd-7ce84aac4fc2,arn:aws:6a8af358-52a0-4887-9943-4104e17a1a27,AGPS7NWEF0I1NANAR82X,role-g,success,,1.3193423748016357,False,,2021-10-01 04:53:44+00:00
61,61,61,2021-10-01T04:53:44Z,Account-123456789,lin.com,DescribeManagedPrefixLists,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,1990-05-27,bfbf9aa5-92d8-4bf2-bf33-a27f53b0d0f4,arn:aws:c828d4ee-b42b-456b-9c84-0fa20916981e,A1KIA9XGUNJBMQXZB91W,role-g,success,,1.4861570596694946,False,,2021-10-01 04:53:44+00:00
62,62,62,2021-10-01T04:53:48Z,Account-123456789,shepherd.com,ModifySubnetAttribute,208.49.113.40,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.1),FederatedUser,,fbdf7bcf-f533-4f4d-94f9-25f656cfdcdf,arn:aws:5953171c-4efa-411f-a5e9-a3eda9ac97ad,ASFVUDV6ATWBALT9TD33,role-g,success,,1.3936101198196411,False,,2021-10-01 04:53:48+00:00
